# TICRA DATA EXPORT
# 2024-11-11T12:42:32

# Curve: 90.0 GHz → E_cx → 30.0 deg [Amplitude]
# From : only_lens_BoR_MoM_extreme/Beam_cut.cut
8001
-9.00000000E+01, -3.06657875E+01
-8.99775000E+01, -3.12614337E+01
-8.99550000E+01, -3.12772282E+01
-8.99325000E+01, -3.05546983E+01
-8.99100000E+01, -2.94287894E+01
-8.98875000E+01, -2.83236104E+01
-8.98650000E+01, -2.74833300E+01
-8.98425000E+01, -2.70147521E+01
-8.98200000E+01, -2.69737577E+01
-8.97975000E+01, -2.74150717E+01
-8.97750000E+01, -2.84230689E+01
-8.97525000E+01, -3.01353232E+01
-8.97300000E+01, -3.27105529E+01
-8.97075000E+01, -3.56573903E+01
-8.96850000E+01, -3.54878151E+01
-8.96625000E+01, -3.21367783E+01
-8.96400000E+01, -2.91311557E+01
-8.96175000E+01, -2.69924370E+01
-8.95950000E+01, -2.55678683E+01
-8.95725000E+01, -2.47280361E+01
-8.95500000E+01, -2.44080299E+01
-8.95275000E+01, -2.45968389E+01
-8.95050000E+01, -2.53384611E+01
-8.94825000E+01, -2.67578676E+01
-8.94600000E+01, -2.91472589E+01
-8.94375000E+01, -3.32873233E+01
-8.94150000E+01, -4.20896040E+01
-8.93925000E+01, -3.94321310E+01
-8.93700000E+01, -3.19737124E+01
-8.93475000E+01, -2.81880689E+01
-8.93250000E+01, -2.59114649E+01
-8.93025000E+01, -2.45247601E+01
-8.92800000E+01, -2.37873053E+01
-8.92575000E+01, -2.36009296E+01
-8.92350000E+01, -2.39444579E+01
-8.92125000E+01, -2.48624199E+01
-8.91900000E+01, -2.64899660E+01
-8.91675000E+01, -2.91510006E+01
-8.91450000E+01, -3.37413507E+01
-8.91225000E+01, -4.35787589E+01
-8.91000000E+01, -3.81601573E+01
-8.90775000E+01, -3.15629157E+01
-8.90550000E+01, -2.81867080E+01
-8.90325000E+01, -2.62216419E+01
-8.90100000E+01, -2.51280066E+01
-8.89875000E+01, -2.46984704E+01
-8.89650000E+01, -2.48604166E+01
-8.89425000E+01, -2.56251130E+01
-8.89200000E+01, -2.70906763E+01
-8.88975000E+01, -2.94921107E+01
-8.88750000E+01, -3.33061698E+01
-8.88525000E+01, -3.82435470E+01
-8.88300000E+01, -3.61474383E+01
-8.88075000E+01, -3.15364137E+01
-8.87850000E+01, -2.85923714E+01
-8.87625000E+01, -2.68182856E+01
-8.87400000E+01, -2.58703974E+01
-8.87175000E+01, -2.56011156E+01
-8.86950000E+01, -2.59797443E+01
-8.86725000E+01, -2.70790269E+01
-8.86500000E+01, -2.91352218E+01
-8.86275000E+01, -3.28175116E+01
-8.86050000E+01, -4.09888465E+01
-8.85825000E+01, -4.36770870E+01
-8.85600000E+01, -3.33766386E+01
-8.85375000E+01, -2.90076782E+01
-8.85150000E+01, -2.64630460E+01
-8.84925000E+01, -2.49112960E+01
-8.84700000E+01, -2.40541842E+01
-8.84475000E+01, -2.37680598E+01
-8.84250000E+01, -2.40141100E+01
-8.84025000E+01, -2.48132693E+01
-8.83800000E+01, -2.62463309E+01
-8.83575000E+01, -2.84545732E+01
-8.83350000E+01, -3.14689118E+01
-8.83125000E+01, -3.37216482E+01
-8.82900000E+01, -3.18595337E+01
-8.82675000E+01, -2.86691337E+01
-8.82450000E+01, -2.62119318E+01
-8.82225000E+01, -2.45326436E+01
-8.82000000E+01, -2.34735334E+01
-8.81775000E+01, -2.29265945E+01
-8.81550000E+01, -2.28334153E+01
-8.81325000E+01, -2.31714216E+01
-8.81100000E+01, -2.39437750E+01
-8.80875000E+01, -2.51691294E+01
-8.80650000E+01, -2.68474235E+01
-8.80425000E+01, -2.88223741E+01
-8.80200000E+01, -3.03943137E+01
-8.79975000E+01, -3.03862544E+01
-8.79750000E+01, -2.89864648E+01
-8.79525000E+01, -2.73826293E+01
-8.79300000E+01, -2.61291891E+01
-8.79075000E+01, -2.53285499E+01
-8.78850000E+01, -2.49674544E+01
-8.78625000E+01, -2.50221920E+01
-8.78400000E+01, -2.54823470E+01
-8.78175000E+01, -2.63557962E+01
-8.77950000E+01, -2.76707494E+01
-8.77725000E+01, -2.94728327E+01
-8.77500000E+01, -3.18009607E+01
-8.77275000E+01, -3.45473948E+01
-8.77050000E+01, -3.69412288E+01
-8.76825000E+01, -3.74337370E+01
-8.76600000E+01, -3.63228987E+01
-8.76375000E+01, -3.51215471E+01
-8.76150000E+01, -3.43663318E+01
-8.75925000E+01, -3.40563215E+01
-8.75700000E+01, -3.40466460E+01
-8.75475000E+01, -3.41375227E+01
-8.75250000E+01, -3.41249111E+01
-8.75025000E+01, -3.39017699E+01
-8.74800000E+01, -3.35209998E+01
-8.74575000E+01, -3.31288366E+01
-8.74350000E+01, -3.28513593E+01
-8.74125000E+01, -3.27279003E+01
-8.73900000E+01, -3.26864446E+01
-8.73675000E+01, -3.25368016E+01
-8.73450000E+01, -3.20421401E+01
-8.73225000E+01, -3.11068035E+01
-8.73000000E+01, -2.98760873E+01
-8.72775000E+01, -2.85930044E+01
-8.72550000E+01, -2.74406572E+01
-8.72325000E+01, -2.65138096E+01
-8.72100000E+01, -2.58485063E+01
-8.71875000E+01, -2.54487579E+01
-8.71650000E+01, -2.52966096E+01
-8.71425000E+01, -2.53490581E+01
-8.71200000E+01, -2.55247500E+01
-8.70975000E+01, -2.56909554E+01
-8.70750000E+01, -2.56780600E+01
-8.70525000E+01, -2.53576613E+01
-8.70300000E+01, -2.47363207E+01
-8.70075000E+01, -2.39485349E+01
-8.69850000E+01, -2.31587048E+01
